Question,Answer,Topic
How many undergraduate and graduate scholars are there in the University of San Carlos (USC) at any given time?,More than 600.,1
What designation was given to the University of San Carlos (USC) by the Philippine Council of Non-Governmental Organization Certification (PCNC) since 2014?,Donee Institution.,1
"What is embodied in the two statements ""Education with a Mission"" and ""Witness to the Word""?",The University's Catholic identity.,2
What is the aim of USC in terms of the holistic formation of the individual?,"To enlighten the mind, hone skills, and positively transform character and behavior.",2
What is the goal of every Carolinian?,"To become a catalyst towards the realization of the kingdom of God, promoting truth, love, justice, freedom, peace, and grace.",2
How are Carolinians recognizable in society?,"By their contribution as the ""light"", ""salt"", and ""yeast"" of the Gospel.",2
What are the characteristics of USC graduates?,"Professionally competent and skilled (Scientia), having noble character and being value-driven (Virtus), and dedicated to social transformation (Devotio).",2
What does the University of San Carlos envision for the world?,A world where the darkness of sin and the night of unbelief vanish before the light of the Word and the Spirit of grace.,2
What does the University of San Carlos envision for society?,"A society where citizens are competent, noble in character, and community-oriented.",2
What is the University of San Carlos?,A Catholic institution of learning that embodies the principles of academic discipline of San Carlos Borromeo and the missionary charism of the Society of the Divine Word (SVD).,2
What is the mission of the University of San Carlos?,"To develop competent and socially responsible professionals and lifelong learners in an environment that fosters excellence in the academic core processes of teaching-learning, research, and community extension service.",2
What is the goal of the University's mission?,"To provide timely, relevant, and transformative academic programs responsive to the needs of the local, national, and global communities in a rapidly changing world.",2
What are the University Core Values?,Integrity; Excellence; Commitment; Social responsibility; Evangelization; and Leadership.,2
How is Integrity defined in the University Core Values?,"Carolinians shall reflect in their personal and professional life the ideals of the Catholic university as ""an academic community, which, in a rigorous and critical fashion, assists in the protection and advancement of human dignity and of a cultural heritage through research, teaching and extension services to the local, national and international communities"".",2
How is Excellence defined in the University Core Values?,Carolinians shall constantly strive to attain the highest standards in their respective fields.,2
How is Commitment defined in the University Core Values?,"Carolinians shall bear in mind that the ultimate goal of the University is the transformation of communities, especially in the Visayas and Mindanao, through the provision of quality basic and higher education.",2
How is Social Responsibility defined in the University Core Values?,Carolinians shall strive to provide themselves and the students an understanding of and effective tools for addressing the prevailing social realities in the country.,2
How do Carolinians demonstrate Social Responsibility?,"By volunteering their expertise and contributing to effective social and civic programs in the local community, through initiatives organized by themselves, their respective departments and relevant external organizations.",2
How is Evangelization defined in the University Core Values?,Carolinians shall seek to understand the values and mores of local cultures and enrich them through gospel values and the teachings of the Church.,2
How do Carolinians demonstrate Evangelization?,"By supporting the missionary apostolate in the Visayas and Mindanao, in solidarity with the Philippines Southern Province of the Society of Divine Word.",2
How is Leadership defined in the University Core Values?,"Carolinians, not only in positions of authority but also in their own personal capacity, shall strive to set the conditions for reflection and learning on their respective educational tasks, both in their departments and in the local community.",2
How do Carolinians demonstrate Leadership?,By fostering norms of behavior befitting a Witness to the Word and exhibiting these norms in their own way of life.,2
What is the University seal?,The University seal is the official insignia of the University of San Carlos.,3
What does the University seal depict?,The University seal depicts a shield on either side by seven laurel leaves.,3
What do the laurel leaves stand for?,The laurel leaves stand for excellence.,3
How many gifts of the Holy Spirit do the laurel leaves symbolize?,"Each one symbolizes a gift of the Holy Spirit: wisdom, understanding, counsel, fortitude, knowledge, piety, and fear of the Lord.",3
How is the shield divided?,The shield is divided into three parts.,3
What is on the upper left of the shield?,On the upper left of the shield is a globe encircled and topped by a cross.,3
What does the globe encircled and topped by a cross symbolize?,This is the symbol of the SVD in the world.,3
What is on the upper right part of the shield?,On the upper right part of the shield is Magellan’s Cross.,3
What does Magellan’s Cross symbolize?,"Magellan’s Cross symbolizes Cebu City, where USC is located.",3
What is on the bottom half of the shield?,On the bottom half of the shield is an open book.,3
What does the open book symbolize?,"The open book symbolizes knowledge, education, and the Word of God.",3
What is above the book on the shield?,Above the book are three stars.,3
What do the three stars represent?,"The three stars represent the three major island groups of the Philippines: Luzon, Visayas, and Mindanao.",3
What is the significance of the University seal?,The University seal is the official insignia of the University of San Carlos.,3
What is the University of San Carlos?,(No answer in the provided text),3
What is the meaning of the seven laurel leaves?,"Each one symbolizes a gift of the Holy Spirit: wisdom, understanding, counsel, fortitude, knowledge, piety, and fear of the Lord.",3
What is the SVD?,(No answer in the provided text),3
Where is the University of San Carlos located?,The University of San Carlos is located in Cebu City.,3
What is Magellan’s Cross?,(No answer in the provided text),3
What is the significance of the globe on the shield?,The globe encircled and topped by a cross is the symbol of the SVD in the world.,3
What is the significance of the open book on the shield?,"The open book symbolizes knowledge, education, and the Word of God.",3
What do the three stars on the shield represent?,"The three stars represent the three major island groups of the Philippines: Luzon, Visayas, and Mindanao.",3
What is the significance of the shield in the University seal?,The shield is divided into three parts.,3
What is the University seal composed of?,The University seal depicts a shield on either side by seven laurel leaves.,3
What is the meaning of the University seal?,The University seal is the official insignia of the University of San Carlos.,3
What is the significance of the laurel leaves in the University seal?,The laurel leaves stand for excellence.,3
How many parts is the shield divided into?,The shield is divided into three parts.,3
What is on the upper part of the shield?,"On the upper left of the shield is a globe encircled and topped by a cross, and on the upper right part of the shield is Magellan’s Cross.",3
What is the significance of the cross on the shield?,The globe encircled and topped by a cross is the symbol of the SVD in the world.,3
What is the significance of Magellan’s Cross on the shield?,"Magellan’s Cross symbolizes Cebu City, where USC is located.",3
When was the Colegio de San Ildefonso established?,21 August 1595,4
Who established the Colegio de San Ildefonso?,"Jesuit priests Antonio Sedeño, Alonso de Humanes, Mateo Sanchez, and a lay brother Gaspar Garay",4
Why was the Colegio de San Ildefonso closed in 1769?,Because of the papal expulsion of the Jesuits from Spain and all Spanish possessions in 1767,4
Who took over the ownership of the colegio and its properties in 1779?,"The Bishop of Cebu, Msgr. Rubio de Arevalo",4
What was the colegio re-established as in 1779?,The Real Seminario de San Carlos,4
Who took over the colegio in 1852?,The Dominican priests,4
What was the colegio renamed to in 1852?,Seminario Conciliar de San Carlos,4
Who took over the colegio in 1867?,The Vincentians,4
What was the colegio renamed to in 1867?,Seminario-Colegio de San Carlos,4
When did the Seminario-Colegio de San Carlos confer the Bachelor’s degree to its first graduates?,1894,4
Who was one of the first graduates of the Seminario-Colegio de San Carlos?,"Sergio Osmeña, later the fourth president of the Philippines from 1944-1946",4
When did the school close due to the Filipino Revolution against Spain?,1898,4
When did the school re-open?,When American rule began,4
When was the school incorporated as Colegio de San Carlos?,1911,4
Who was the rector of the Colegio de San Carlos in 1911?,Jacinto Villalain,4
When was the school separated from the seminary?,1922,4
Where did the Colegio de San Carlos transfer to in 1930?,Along P. del Rosario Street,4
Who took over the Colegio de San Carlos in 1935?,The German religious order Societas Verbi Divini (SVD),4
What were the two new colleges added aside from the existing College of Liberal Arts in 1935?,Law and Commerce,4
When was the College of Education established?,1938,4
When was the College of Engineering established?,1939,4
What happened to the Colegio de San Carlos during World War II?,It was left in ruins with many of its priests and lay killed in the run-up to Liberation,4
When was the Colegio de San Carlos re-opened after World War II?,June 1945,4
Who re-opened the Colegio de San Carlos after World War II?,Father Josef Jaschik and Father Ernest Hoerdemann,4
Who was appointed to oversee a ten-year reconstruction plan from 1947-1957?,Father Hoerdemann,4
When was the College of Pharmacy added?,1947,4
When was the Colegio de San Carlos granted university status?,1 July 1948,4
What was the University of San Carlos known for after 1948?,A research institution,4
When was the new campus for boys opened?,1956,4
Where was the new campus for boys opened?,"Along Gen. Maxilom Avenue (presently, the North Campus)",4
"When was another campus for grade school boys and girls, for high school girls, and for teachers-to-be inaugurated?",1962,4
"Where was the campus for grade school boys and girls, for high school girls, and for teachers-to-be inaugurated?",On J. Alcantara Street (now called South Campus),4
"When did the University become one of the 11 charter members of the Philippine Accrediting Association of Schools, Colleges, and Universities (PAASCU)?",1957,4
When was the Talamban campus opened?,1963,4
What was constructed in Talamban in 1963?,"The first and only Coconut Chemical Plant in the country, a joint project of the German and Philippine governments",4
What was the Talamban campus known as by 1965?,The Technological Center,4
What was the Talamban campus known as by 1965?,"San Carlos Borromeo (1538-1584), St. Arnold Janssen (1837-1909), St. Joseph Freinademetz (1852-1908).",5
What was the Talamban campus known as by 1965?,The Society of Divine Word (SVD).,5
What was the Talamban campus known as by 1965?,November 4.,5
What was the Talamban campus known as by 1965?,He facilitated the final deliberations of the Council of Trent and took a large share in the drafting of the Tridentine Catechism.,5
What was the Talamban campus known as by 1965?,"He bravely attended to the sick and the dead victims of the plague, sparing no expense and avoiding no danger in an effort to assist the poor.",5
What was the Talamban campus known as by 1965?,He played a major role against the reformation movement.,5
What was the Talamban campus known as by 1965?,"He worked towards the reform of collegiate churches, seminaries, colleges, and communities for the education, especially of candidates for holy orders.",5
What was the Talamban campus known as by 1965?,"Because of his series of activities toward reform of the collegiate churches, seminaries, colleges, and communities for the education, especially of candidates for holy orders.",5
What was the Talamban campus known as by 1965?,A saint of learning and the arts.,5
What was the Talamban campus known as by 1965?,St. Arnold Janssen.,5
What was the Talamban campus known as by 1965?,"A simple family of eleven children in the village of Goch in the Rhineland, Germany, not far from the Dutch border.",5
What was the Talamban campus known as by 1965?,A school teacher of the natural sciences and mathematics in Bocholt.,5
What was the Talamban campus known as by 1965?,The Sacred Heart of Jesus.,5
What was the Talamban campus known as by 1965?,He was named Diocesan Director for the Apostleship of Prayer.,5
What was the Talamban campus known as by 1965?,"He engaged in media work as a form of missionary activity, especially through the circulation of a devotional magazine, The Little Messenger of the Sacred Heart.",5
What was the Talamban campus known as by 1965?,"Out of obedience to his Bishop, during the difficult days of the Kulturkampf in 1875.",5
What was the Talamban campus known as by 1965?,"From zero, the congregation grew to its present size like the proverbial mustard seed.",5
What was the Talamban campus known as by 1965?,"Into 4 zones: Asia-Pacific (ASPAC), Africa-Madagascar (AFRAM), America (PANAM), and Europe (EUROPA).",5
What was the Talamban campus known as by 1965?,"The Sisters of the Holy Spirit (SSpS), fondly called the Blue Sisters, and the contemplative Sisters of the Holy Spirit of Perpetual Adoration (SSpSAP), better known as the Pink Sisters.",5
What was the Talamban campus known as by 1965?,China.,5
What was the Talamban campus known as by 1965?,"The Philippines, setting foot in Abra in 1909, just before he breathed his last.",5
What was the Talamban campus known as by 1965?,"A missionary, a leader, or what is now called a manager or corporate executive officer.",5
What was the Talamban campus known as by 1965?,To do a mission in China.,5
What was the Talamban campus known as by 1965?,"Oies, a small hamlet in the Dolomite Alps of northern Italy, in the region known as South Tyrol, which was then part of the Austro-Hungarian empire.",5
What was the Talamban campus known as by 1965?,Theology at the diocesan seminary of Brixen.,5
What was the Talamban campus known as by 1965?,His Bishop.,5
What was the Talamban campus known as by 1965?,2 March 1879.,5
What was the Talamban campus known as by 1965?,Fr. Anzer.,5
What was the Talamban campus known as by 1965?,China.,5
What was the Talamban campus known as by 1965?,He learned the lesson of enculturation the hard way and became a true model of a Witness to the Word.,5
What was the Talamban campus known as by 1965?,"""I love China and the Chinese. I want to die among them and be laid to rest among them.""",5
What was the Talamban campus known as by 1965?,To be a Chinese even in heaven.,5
What was the Talamban campus known as by 1965?,Pope Paul VI on 19 October 1975.,5
What was the Talamban campus known as by 1965?,Pope John Paul II on 5 October 2003.,5
What type of educational institution is the University of San Carlos (USC)?,"A non-stock, non-profit Catholic educational institution.",6
Who governs the University of San Carlos (USC)?,A ten-member Board of Trustees.,6
What powers does the Board of Trustees have?,Corporate powers by law.,6
Who does the Board of Trustees elect?,The President.,6
Who does the President appoint?,"The Vice Presidents, Chaplain, Deans, Registrar, Principals, and other officers.",6
Who assists the President in the exercise of duties and powers?,Three Vice Presidents and Assistant Vice Presidents when needed.,6
What constitutes the President's Cabinet?,The Vice Presidents and Assistant Vice Presidents.,6
What offices are attached to the Office of the President?,"The University Chaplain, the Legal Counsel, the Institutional Planning and Quality Assurance (IPQA), the Knowledge, Technology and Transfer Office (KTTO), the Corporate Communications Office, the Office of the Presidential Assistant for Mission and Spirituality (PAMS), and Internal Audit Office.",6
Who heads the Office of the Vice President for Academic Affairs (OVPAA)?,The Vice President for Academic Affairs.,6
What does the OVPAA exercise jurisdiction over?,"The University Academic Council and its Committees, Deans and Chairs, Office of the University Registrar, Research, Development, Extension and Publications Office (RDEPO), External Relations and Internationalization Office (ERIO), Community Extension Services (CES), Library System, National Service Training Program (NSTP), and USC Publishing House.",6
Who does the OVPAA closely coordinate with?,"The Human Resources Management Office for concerns regarding academic ranking, classification, and promotions, and the Instructional Development Unit for faculty in-service programs.",6
Who is the chief administrative officer of the University?,The Vice President for Administration (VPAd).,6
What does the VPAd exercise jurisdiction over?,"The Advancement Office, Information Resources Management Office (IRMO), Student Affairs and Services Office (SASO), Office of Administrator of Properties (OAP), Data Privacy Office (DPO), Office of Security and Safety, and Human Resource Management Office (HRMO).",6
"What is composed of the Office of Alumni Affairs, Scholarship and Job Placement Office (OAASJ), Office of Naming Rights, Endowments and Scholarships (ONES), and Semper Fidelis?",The Advancement Office.,6
What is composed of Administrative Computing Services and Technical Networking Services and Help Desk Offices?,The Information Resources Management Office (IRMO).,6
"What is composed of the following: Counselling and Development Center (CDC), Office of Student Formation and Activities (OSFA), Health Services Office (HSO), Performing Arts Group (PAG), Dormitory; and Athletics and Recreation Center (ARC)?",The Student Affairs and Services Office.,6
"What is composed of Physical Plant and Facilities Office (PPFO), Facilities Office, Maintenance Office, and Utilities Office?",The Office of Administrators and Properties.,6
Who is the chief financial officer of the University?,The Vice President for Finance (VPF).,6
Who does the VPF exercise jurisdiction over?,"The Comptroller, Treasurer, and Head of the Budget and Purchasing Department.",6
What does the Comptroller supervise?,The Accounting and Payroll Offices.,6
What does the Treasurer supervise?,The cash and fund officers.,6
"What departments are under the School of Architecture, Fine Arts, and Design (SAFAD)?",Department of Architecture and Department of Fine Arts.,6
What departments are under the School of Arts and Sciences (SAS)?,"Department of Anthropology, Sociology, and History, Department of Biology, Department of Chemistry, Department of Communications, Linguistics, and Literature, Department of Computer, Information Sciences, and Mathematics, Department of Philosophy, Department of Physics, and Department of Psychology.",6
What departments are under the School of Business of Economics (SBE)?,"Department of Accountancy, Department of Business Administration, Department of Economics, and Department of Hospitality Management.",6
What department is under the School of Education (SED)?,Department of Teacher Education.,6
What departments are under the School of Healthcare Professions (SHCP)?,"Department of Nursing, Department of Nutrition and Dietetics, and Department of Pharmacy.",6
What departments are under the School of Engineering (SOE)?,"Department of Chemical Engineering, Department of Civil Engineering, Department of Computer Engineering, Department of Electrical and Electronics Engineering, Department of Industrial Engineering, and Department of Mechanical and Manufacturing Engineering.",6
What departments are under the School of Law and Governance (SLG)?,College of Law and Department of Political Science.,6
What subdepartments are under the Basic Education Department (BED)?,"Lower Basic Education, Montessori Academy, and Senior High School.",6
What determines the academic admission requirements?,"The status of the applicant student, the program he/she wishes to enroll in, and the requirements set by the different schools/departments.",7
Where can program-specific requirements be obtained?,From the respective school/department or the University Office of Recruitment and Admissions (ORA).,7
What is the University's right regarding admission?,The University reserves the right to refuse the admission of any applicant whose qualifications do not meet the standards and requirements of the program and/or of the School/Department.,7
What is the consequence of intentional misrepresentation/misdeclaration or falsification of submitted documents?,The University may refuse the admission of an applicant who has made an intentional misrepresentation/misdeclaration or falsification of submitted documents.,7
Who must take the College Admission Examinations (CAE)?,Students graduating from senior high school who want to enroll in the University as well as tertiary students who want to transfer to the University.,7
What is the University's policy regarding education?,"The University adopts, as a matter of policy, inclusive education.",7
What does the University support and welcome?,"Diversity amongst all learners from ethnic and linguistic minorities, rural populations, those affected by HIV and AIDS, and those with disabilities and difficulties in learning.",7
What is the University's commitment?,"The University commits to eliminating exclusion that is a consequence of negative attitudes and a lack of appropriate University response to diversity in gender, sexual orientation, race, economic status, social class, ethnicity, language, religion, and ability.",7
What are the requirements to take the qualifying examinations?,"Three (3) copies of 2x2 ID pictures (colored with white background), pencil, and testing fee (may vary depending on the program).",7
What must transferees secure before proceeding with the admissions process?,A clearance from the Office of Student Formation and Activities (OSFA).,7
What must transferees present during the interview at the OSFA?,A Certificate of Good Moral Character from the school they last attended.,7
What are the initial requirements to qualify for admission to a particular Curricular Program?,"Passing FINAL GRADE in all senior high school subjects (certain programs require specific cut-off grades), passing mark in the qualifying examinations, compliance to supplemental requirements which may be prescribed by authorized offices/academic units, where applicable, and interview with the Department Chair.",7
What is the requirement for Senior High School Graduates (New First Years)?,"Passing FINAL GRADE in all senior high school subjects (certain programs require specific cut-off grades), passing mark in the qualifying examinations, compliance to supplemental requirements which may be prescribed by authorized offices/academic units, where applicable, and interview with the Department Chair.",7
What is the requirement for Senior High School Academic Strands?,Applicant students may be allowed to enroll in an academic program outside of his/her academic strands subject to the school/department policy on the taking of bridging courses.,7
Who are transferees?,Undergraduate students who wish to enroll in a bachelor’s program at the University of San Carlos after having been enrolled in a college course from another institution.,7
What is the deadline for transferees to start their enrollment at the University?,No later than the third year of a four-year curriculum or fourth year of a five-year curriculum.,7
What are the requirements for transferees?,"Certificate of Transfer Credentials, Evaluative Copy of the Transcript of Records, passing mark in the qualifying examinations, compliance to supplemental requirements which may be prescribed by authorized offices/academic units, where applicable, and interview with the Department Chair.",7
Where can students find the complete admission process?,The University Enrollment Guide website and/or the official social media page.,7
What are the initial requirements for new freshmen applicants?,"The initial requirements for new freshmen applicants are as follows, which should be prepared before applying for admission online.",8
What is the first requirement for new freshmen applicants?,Grade 12 grades duly certified/signed by the School Registrar/Principal.,8
What should be present if the student is currently enrolled?,At least the first semester grades should be present.,8
What is the second requirement for new freshmen applicants?,"School ID (A Certificate of Eligibility is required should there be no available school ID, download the certificate by going to this link: https://ismis.usc.edu.ph/Apply/DownloadCERT)",8
What is the third requirement for new freshmen applicants?,1 copy 2x2 colored photo with white background,8
What is the fourth requirement for new freshmen applicants?,"Diploma in Senior High School (if by the time of application, the applicant graduated already in Grade 12, duly signed and authenticated by the School Registrar/Principal, a Declaration Form as a New Student should be signed and submitted).",8
How do I apply as a new freshmen online in the ISMIS portal?,"Go to https://ismis.usc.edu.ph and click ""Applicants for Admission Graduate, Tertiary & Senior High School"".",8
"What should I do after clicking ""Applicants for Admission Graduate, Tertiary & Senior High School""?","Click the ""Submit Admission Application tab"" at the bottom of the page, or ""Submit Admission Application for 2nd Courser and Continuing Students"" for USC senior high school graduates and those who were already issued a Student ID in the past, or ""International Applicants"" tab for International Passport Holders, Dual Citizens, or Filipino Graduates Abroad.",8
"What should I do after clicking the ""Submit Admission Application tab""?",Fill out the Personal Data Sheet and complete all fields.,8
What should I do after filling out the Personal Data Sheet?,"Attach the required documents one by one. For every file, click the ""Start Upload"" button to upload the file.",8
What should I do after attaching the required documents?,Complete the Captcha.,8
What should I do after completing the Captcha?,Click the Submit button.,8
How do I check the application status and upload additional documents in ISMIS?,"Go to https://ismis.usc.edu.ph and click ""Applicants for Admission Graduate, Tertiary & Senior High School"".",8
"What should I do after clicking ""Applicants for Admission Graduate, Tertiary & Senior High School"" to check the application status?","Click the ""Check Status of Submitted Application"" button at the bottom of the page. Complete the required fields and click the Search Applicant button.",8
How do I upload additional documents in ISMIS?,"Click on the ""Files Uploaded"" button or icon.",8
What is the purpose of the Declaration Form as a New Student?,To be signed and submitted if the applicant graduated already in Grade 12.,8
Who should sign and authenticate the Diploma in Senior High School?,The School Registrar/Principal.,8
What is the purpose of the Certificate of Eligibility?,"Required should there be no available school ID, download the certificate by going to this link: https://ismis.usc.edu.ph/Apply/DownloadCERT)",8
What is the format of the required photo?,2x2 colored photo with white background,8
What is an international student?,An international student refers to an applicant who undertakes all or part of his/her higher education experience in a country other than his/her home country or an applicant who travels across a national boundary to a country other than his/her home country to undertake all or part of his/her higher education experience.,9
Who needs to go through the pre-admission process with the External Relations and Internationalization Office (ERIO)?,"A student with an international passport or has dual citizenship, or is a Filipino graduate abroad.",9
What is the first part of the admission process for international students?,"The first part is pre-admission, which involves uploading your admission requirements in ISMIS.",9
How do I access the International Student Portal?,Go to the International Student Portal through https://ismis.usc.edu.ph/ApplyForeign.,9
What do I need to do in the International Student Portal?,"Fill out the Personal Data Sheet and complete all fields. Attach the required documents one by one. For every file, click the ""Start Upload"" button to upload the file. Complete the Captcha and click the ""Submit button"".",9
What happens after I submit my pre-admission documents?,ERIO will verify the pre-admission documents and endorse the applicant to the Office of the University Registrar.,9
What does the Office of the University Registrar do after receiving the endorsed application?,The Office of the University Registrar will verify the application and endorse the applicant for admission to the Office of the Recruitment and Admissions (ORA).,9
What are the required documents for Undergraduate Program Freshmen International Applicants?,"- Transcript of Records (1st and 2nd semesters of Grade 11 and Grade 12) for Bachelor’s Program (IGCSE/GCSE with A-Levels may also be considered), - Diploma/Certificate of graduation in Grade 12 (Senior High School), - Photocopy of Passport bio-page with at least two-year validity, - English Proficiency Requirement with a rating in 6.0 in IELTS or at least 60 for TOEFL or as prescribed by the program. Applicants, who graduated from schools that used English as a medium of instruction are required to submit a certificate issued by the head of the institution or its legal representative., - Proof of Philippine Citizenship for Dual Citizen Applicants such as Philippine Passport, Identification Certificate (IC), or Certificate of Reacquisition/Retention of Philippine Citizenship (CRPC).",9
What are the required documents for Masteral and Doctoral Program International Applicants?,"- Baccalaureate Diploma or its equivalent with remarks of graduation, - Photocopy of Passport bio-page with at least two-year validity, - English Proficiency Requirement with a rating in 6.0 in IELTS or at least 60 for TOEFL or as prescribed by the program. Applicants, who graduated from schools that used English as a medium of instruction are required to submit a certificate issued by the head of the institution or its legal representative., - Proof of Philippine Citizenship for Dual Citizen Applicants such as Philippine Passport, Identification Certificate (IC), or Certificate of Reacquisition/Retention of Philippine Citizenship (CRPC).",9
What happens after the admission requirements are validated by ORA?,"The applicant will now be endorsed for the College Admission Examination for undergraduate applicants, Department Chair for interview and acceptance for Juris Doctor applicants and Masteral Program applicants, or panel interview and acceptance for Doctoral Program applicants.",9
What do I need to do after being accepted by the Department Chairman?,The applicant needs to go back to ERIO for the enrollment clearance slip before the applicant will proceed to the Office of the University Registrar for the submission of authenticated documents.,9
What is the topic of this section of the student manual?,Topic 10: Admission Steps for Transferee,10
What are the initial requirements for transferee applicants?,"Certificate of Transfer Credentials/Honorable Dismissal, Transcript of Records (Informative Copy), 1 copy 2x2 colored photo with white background, Certificate of Good Moral Character (from the previous school attended), and Clearance from the Office of Student Formation and Activities (OSFA) of the University of San Carlos Downtown Campus.",10
What is the first step in applying as a transferee online in the ISMIS portal?,"Go to https://ismis.usc.edu.ph and click ""Applicants for Admission Graduate, Tertiary & Senior High School"".",10
"What should I do after clicking ""Applicants for Admission Graduate, Tertiary & Senior High School""?","Click the ""Submit Admission Application tab"" at the bottom of the page, or ""Submit Admission Application for 2nd Courser and Continuing Students"" for previous USC students and those who were already issued a Student ID in the past, or ""International Applicants"" tab for International Passport Holders, Dual Citizens, or Filipino Graduates Abroad.",10
What should I fill out in the ISMIS portal?,The Personal Data Sheet and complete all fields.,10
How do I attach the required documents in the ISMIS portal?,"Attach the required documents one by one. For every file, click the ""Start Upload"" button to upload the file.",10
What should I do after attaching the required documents?,Complete the Captcha.,10
What should I do after completing the Captcha?,Click the Submit button.,10
How do I check the application status in ISMIS?,"Go to https://ismis.usc.edu.ph and click ""Applicants for Admission Graduate, Tertiary & Senior High School"", then click the ""Check Status of Submitted Application"" button at the bottom of the page. Complete the required fields and click the Search Applicant button.",10
How do I upload additional documents in ISMIS?,"Click on the ""Files Uploaded"" button or icon.",10
What is the purpose of the Certificate of Transfer Credentials/Honorable Dismissal?,(No answer in the context),10
What is the purpose of the Transcript of Records (Informative Copy)?,(No answer in the context),10
What is the purpose of the 1 copy 2x2 colored photo with white background?,(No answer in the context),10
What is the purpose of the Certificate of Good Moral Character?,(No answer in the context),10
What is the purpose of the Clearance from the Office of Student Formation and Activities (OSFA) of the University of San Carlos Downtown Campus?,(No answer in the context),10
What is the URL to access the ISMIS portal?,https://ismis.usc.edu.ph,10
What should I do if I am a previous USC student or was already issued a Student ID in the past?,"Click the ""Submit Admission Application for 2nd Courser and Continuing Students"" tab.",10
"What should I do if I am an International Passport Holder, Dual Citizen, or Filipino Graduate Abroad?","Click the ""International Applicants"" tab.",10
What should I do if I need to add more documents to my application?,"Click the ""Files Uploaded"" button or icon.",10
What should I do if I want to check the status of my submitted application?,"Go to https://ismis.usc.edu.ph, click ""Applicants for Admission Graduate, Tertiary & Senior High School"", then click the ""Check Status of Submitted Application"" button at the bottom of the page. Complete the required fields and click the Search Applicant button.",10
What are the initial requirements for graduate applicants?,"Informative Copy of the Transcript of Records (TOR) with remarks of graduation, Concept Paper and a Declaration of Originality, and Two (2) Recommendation Letters for Master’s Program and three (3) recommendation letters for Doctorate Program.",11
Where should the Concept Paper and Declaration of Originality be emailed?,admission-apply@usc.edu.ph,11
What is the template for the Concept Paper and Declaration of Originality?,Found in this link: https://docs.google.com/document/d/1UCZdt-Z0khwTPUPetco2URWZlDR5-fTn/edit,11
