Question,Answer,Topic
Who does the President appoint?,"The Vice Presidents, Chaplain, Deans, Registrar, Principals, and other officers.",6
Who assists the President in the exercise of duties and powers?,"Three Vice Presidents: the Vice President for Academic Affairs, the Vice President for Administration, and the Vice President for Finance.",6
Who else assists the President when needed?,Assistant Vice Presidents.,6
What constitutes the President's Cabinet?,The Vice Presidents and Assistant Vice Presidents.,6
What offices are attached to the Office of the President?,"The University Chaplain, the Legal Counsel, the Institutional Planning and Quality Assurance (IPQA), the Knowledge, Technology and Transfer Office (KTTO), the Corporate Communications Office, the Office of the Presidential Assistant for Mission and Spirituality (PAMS), and Internal Audit Office.",6
What is the Office of the Vice President for Academic Affairs (OVPAA) responsible for?,"Exercising jurisdiction over the University Academic Council and its Committees, Deans and Chairs, Office of the University Registrar, Research, Development, Extension and Publications Office (RDEPO), External Relations and Internationalization Office (ERIO), Community Extension Services (CES), Library System, National Service Training Program (NSTP), and USC Publishing House.",6
Who does the OVPAA closely coordinate with?,"The Human Resources Management Office for concerns regarding academic ranking, classification, and promotions, and the Instructional Development Unit for faculty in-service programs.",6
Who is the chief administrative officer of the University?,The Vice President for Administration (VPAd).,6
What offices does the VPAd exercise jurisdiction over?,"The Advancement Office, Information Resources Management Office (IRMO), Student Affairs and Services Office (SASO), Office of Administrator of Properties (OAP), Data Privacy Office (DPO), Office of Security and Safety, and Human Resource Management Office (HRMO).",6
What offices comprise the Advancement Office?,"The Office of Alumni Affairs, Scholarship and Job Placement Office (OAASJ), Office of Naming Rights, Endowments and Scholarships (ONES), and Semper Fidelis.",6
What offices comprise the Information Resources Management Office (IRMO)?,Administrative Computing Services and Technical Networking Services and Help Desk Offices.,6
What offices comprise the Student Affairs and Services Office (SASO)?,"The Counselling and Development Center (CDC), Office of Student Formation and Activities (OSFA), Health Services Office (HSO), Performing Arts Group (PAG), Dormitory; and Athletics and Recreation Center (ARC).",6
What offices comprise the Office of Administrators and Properties?,"Physical Plant and Facilities Office (PPFO), Facilities Office, Maintenance Office, and Utilities Office.",6
Who is the chief financial officer of the University?,The Vice President for Finance (VPF).,6
What offices does the VPF exercise jurisdiction over?,"The Comptroller, Treasurer, and Head of the Budget and Purchasing Department.",6
What offices does the Comptroller supervise?,The Accounting and Payroll Offices.,6
What offices does the Treasurer supervise?,The cash and fund officers.,6
"What departments are under the School of Architecture, Fine Arts, and Design (SAFAD)?",Department of Architecture and Department of Fine Arts.,6
What departments are under the School of Arts and Sciences (SAS)?,"Department of Anthropology, Sociology, and History, Department of Biology, Department of Chemistry, Department of Communications, Linguistics, and Literature, Department of Computer, Information Sciences, and Mathematics, Department of Philosophy, Department of Physics, and Department of Psychology.",6
What departments are under the School of Business of Economics (SBE)?,"Department of Accountancy, Department of Business Administration, Department of Economics, and Department of Hospitality Management.",6
What department is under the School of Education (SED)?,Department of Teacher Education.,6
What departments are under the School of Healthcare Professions (SHCP)?,"Department of Nursing, Department of Nutrition and Dietetics, and Department of Pharmacy.",6
What departments are under the School of Engineering (SOE)?,"Department of Chemical Engineering, Department of Civil Engineering, Department of Computer Engineering, Department of Electrical and Electronics Engineering, Department of Industrial Engineering, and Department of Mechanical and Manufacturing Engineering.",6
What departments are under the School of Law and Governance (SLG)?,College of Law and Department of Political Science.,6
What subdepartments are under the Basic Education Department (BED)?,"Lower Basic Education, Montessori Academy, and Senior High School.",6
What determines the academic admission requirements?,"The academic admission requirements are dependent on the status of the applicant student, the program he/she wishes to enroll in, and the requirements set by the different schools/departments.",7
Where can program-specific requirements be obtained?,Program-specific requirements may be obtained from the respective school/department or the University Office of Recruitment and Admissions (ORA).,7
What is the University's stance on admission of applicants?,The University reserves the right to refuse the admission of any applicant whose qualifications do not meet the standards and requirements of the program and/or of the School/Department.,7
What is the consequence of making an intentional misrepresentation/misdeclaration or falsification of submitted documents?,The University may refuse the admission of an applicant who has made an intentional misrepresentation/misdeclaration or falsification of submitted documents.,7
Who must take the College Admission Examinations (CAE)?,Students graduating from senior high school who want to enroll in the University as well as tertiary students who want to transfer to the University must take the College Admission Examinations (CAE).,7
What is the University's policy on education?,"The University adopts, as a matter of policy, inclusive education.",7
What does the University commit to eliminating?,"The University commits to eliminating exclusion that is a consequence of negative attitudes and a lack of appropriate University response to diversity in gender, sexual orientation, race, economic status, social class, ethnicity, language, religion, and ability.",7
What are the requirements to take the qualifying examinations?,"To take the qualifying examinations, the following are required: three (3) copies of 2x2 ID pictures (colored with white background), pencil, and testing fee (may vary depending on the program.",7
What must transferees secure before proceeding with the admissions process?,Transferees must first secure a clearance from the Office of Student Formation and Activities (OSFA) before proceeding with the admissions process.,7
What must transferees present during the interview at the OSFA?,They must present a Certificate of Good Moral Character from the school they last attended during the interview at the OSFA.,7
What are the initial requirements to qualify for Admission to a particular Curricular Program?,"To qualify for Admission to a particular Curricular Program, the following are the initial requirements: Passing FINAL GRADE in all senior high school subjects (certain programs require specific cut-off grades), passing mark in the qualifying examinations, compliance to supplemental requirements which may be prescribed by authorized offices/academic units, where applicable, and interview with the Department Chair.",7
What is the requirement for Senior High School Graduates (New First Years)?,"Passing FINAL GRADE in all senior high school subjects (certain programs require specific cut-off grades), passing mark in the qualifying examinations, compliance to supplemental requirements which may be prescribed by authorized offices/academic units, where applicable, and interview with the Department Chair.",7
Can applicant students be allowed to enroll in an academic program outside of his/her academic strands?,Applicant students may be allowed to enroll in an academic program outside of his/her academic strands subject to the school/department policy on the taking of bridging courses.,7
Who are transferees?,Transferees are undergraduate students who wish to enroll in a bachelor’s program at the University of San Carlos after having been enrolled in a college course from another institution.,7
What is the deadline for transferees to start their enrollment at the University?,They must start their enrollment at the University no later than the third year of a four-year curriculum or fourth year of a five-year curriculum.,7
What are the requirements for transferees?,"Certificate of Transfer Credentials, Evaluative Copy of the Transcript of Records, passing mark in the qualifying examinations, compliance to supplemental requirements which may be prescribed by authorized offices/academic units, where applicable, and interview with the Department Chair.",7
Where can students find the complete admission process?,"For the complete admission process, the student is directed to the University Enrollment Guide website and/or the official social media page.",7
What are the initial requirements for new freshmen applicants?,"The initial requirements for new freshmen applicants are as follows, which should be prepared before applying for admission online.",8
What is the first requirement for new freshmen applicants?,Grade 12 grades duly certified/signed by the School Registrar/Principal.,8
What should be present if the student is currently enrolled?,At least the first semester grades should be present.,8
What is the second requirement for new freshmen applicants?,"School ID (A Certificate of Eligibility is required should there be no available school ID, download the certificate by going to this link: https://ismis.usc.edu.ph/Apply/DownloadCERT)",8
What is the third requirement for new freshmen applicants?,1 copy 2x2 colored photo with white background,8
What is the fourth requirement for new freshmen applicants?,"Diploma in Senior High School (if by the time of application, the applicant graduated already in Grade 12, duly signed and authenticated by the School Registrar/Principal, a Declaration Form as a New Student should be signed and submitted).",8
How do I apply as a new freshmen online in the ISMIS portal?,"Go to https://ismis.usc.edu.ph and click ""Applicants for Admission Graduate, Tertiary & Senior High School"".",8
"What should I do after clicking ""Applicants for Admission Graduate, Tertiary & Senior High School""?","Click the ""Submit Admission Application tab"" at the bottom of the page, or ""Submit Admission Application for 2nd Courser and Continuing Students"" for USC senior high school graduates and those who were already issued a Student ID in the past, or ""International Applicants"" tab for International Passport Holders, Dual Citizens, or Filipino Graduates Abroad.",8
"What should I do after clicking the ""Submit Admission Application tab""?",Fill out the Personal Data Sheet and complete all fields.,8
What should I do after filling out the Personal Data Sheet?,"Attach the required documents one by one. For every file, click the ""Start Upload"" button to upload the file.",8
What should I do after attaching the required documents?,Complete the Captcha.,8
What should I do after completing the Captcha?,Click the Submit button.,8
